ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18316,43762,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,5293,NULL,40.024969,-81.736287
18317,43764,OH,OH_Perry,OH_Perry,2713,OH_Perry,8384,NULL,39.730065,-82.184694
18318,43766,OH,OH_Perry,OH_Perry,2713,OH_Perry,1742,NULL,39.592891,-82.237487
18319,43767,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,1544,NULL,40.008498,-81.802829
18320,43768,OH,OH_Guernsey,OH_Guernsey,1627,OH_Guernsey,-99,NULL,40.038255,-81.442786
18321,43771,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,1714,NULL,39.837023,-81.941236
18322,43772,OH,OH_Noble,OH_Noble,2563,OH_Noble,1979,NULL,39.892204,-81.529891
18323,43773,OH,OH_Guernsey,OH_Guernsey,1627,OH_Guernsey,3312,NULL,39.986451,-81.289073
18324,43777,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,4796,NULL,39.819267,-82.071549
18325,43778,OH,OH_Guernsey,OH_Guernsey,1627,OH_Guernsey,1476,NULL,40.014497,-81.370454
18326,43779,OH,OH_Noble,OH_Noble,2563,OH_Noble,963,NULL,39.793642,-81.450709
18327,43780,OH,OH_Noble,OH_Noble,2563,OH_Noble,2959,NULL,39.912801,-81.425707
18328,43782,OH,OH_Perry,OH_Perry,2713,OH_Perry,1018,NULL,39.618096,-82.199513
18329,43783,OH,OH_Perry,OH_Perry,2713,OH_Perry,4685,NULL,39.782067,-82.29971
18330,43786,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,-99,NULL,39.712755,-81.27322
18331,43787,OH,OH_Morgan,OH_Morgan,2490,OH_Morgan,2602,NULL,39.550908,-81.808913
18332,43788,OH,OH_Noble,OH_Noble,2563,OH_Noble,933,NULL,39.805113,-81.335987
18333,43789,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,-99,NULL,39.664186,-81.249396
18334,43791,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,-99,NULL,39.880297,-82.084518
18335,43793,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,5037,NULL,39.740807,-81.098196
18336,43802,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,1230,NULL,40.094411,-81.850844
18337,43803,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,-99,NULL,40.354908,-81.644617
18338,43804,OH,OH_Holmes,OH_Holmes,1768,OH_Holmes,2791,NULL,40.455129,-81.72947
18339,43805,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,-99,NULL,40.400103,-81.970243
18340,43811,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,784,NULL,40.177934,-81.918751
18341,43812,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,19886,NULL,40.283629,-81.892275
18342,43821,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,4444,NULL,40.128295,-81.996702
18343,43822,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,4626,NULL,40.17666,-82.170358
18344,43824,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,4128,NULL,40.367165,-81.760056
18345,43828,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,-99,NULL,40.341347,-81.864922
18346,43830,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,5463,NULL,40.05936,-82.143878
18347,43832,OH,OH_Tuscarawas,OH_Tuscarawas,192,OH_Tuscarawas,7516,NULL,40.271051,-81.590083
